Class,Images,Instances,P,R,mAP50,mAP50-95
all,352,244335,0.907,0.602,0.728,0.583
brace,352,725,0.993,0.902,0.951,0.855
ledgerLine,352,23809,1.0,0.0,0.0,0.0
repeatDot,352,876,1.0,0.0833,0.434,0.211
segno,352,55,0.984,1.0,0.995,0.974
coda,352,49,0.95,1.0,0.995,0.94
clefG,352,2203,0.999,0.999,0.995,0.977
clefCAlto,352,255,0.996,0.988,0.993,0.951
clefCTenor,352,167,0.989,0.988,0.993,0.963
clefF,352,1488,0.998,0.994,0.995,0.94
clef15,352,76,0.986,0.763,0.882,0.701
fingering0,352,140,0.986,0.471,0.708,0.56
timeSig0,352,83,0.897,1.0,0.994,0.851
fingering1,352,226,1.0,0.278,0.577,0.426
timeSig1,352,116,0.848,0.845,0.91,0.71
fingering2,352,138,0.945,0.312,0.545,0.429
timeSig2,352,126,0.92,0.944,0.959,0.814
fingering3,352,146,0.869,0.192,0.367,0.3
timeSig3,352,401,0.847,0.611,0.732,0.558
fingering4,352,131,0.988,0.298,0.495,0.385
timeSig4,352,1349,0.992,0.773,0.881,0.671
fingering5,352,3,0.52,0.667,0.686,0.399
timeSig5,352,146,0.833,0.342,0.498,0.28
timeSig6,352,185,0.977,0.692,0.858,0.683
timeSig7,352,40,0.94,0.775,0.833,0.66
numeral8,352,305,1.0,0.277,0.645,0.492
timeSig8,352,322,0.979,0.901,0.95,0.8
timeSig9,352,69,0.74,0.797,0.842,0.714
timeSigCommon,352,72,1.0,0.905,0.962,0.882
timeSigCutCommon,352,45,0.74,0.956,0.956,0.822
noteheadBlackOnLine,352,34743,0.999,0.574,0.793,0.629
noteheadBlackInSpace,352,33887,0.998,0.565,0.787,0.625
noteheadHalfOnLine,352,2876,0.995,0.68,0.845,0.693
noteheadHalfInSpace,352,2805,0.994,0.679,0.84,0.684
noteheadWholeOnLine,352,865,0.982,0.836,0.919,0.787
noteheadWholeInSpace,352,1008,0.987,0.804,0.91,0.778
noteheadDoubleWholeOnLine,352,57,0.971,0.594,0.721,0.386
noteheadDoubleWholeInSpace,352,21,1.0,0.619,0.755,0.449
augmentationDot,352,5525,0.979,0.0483,0.46,0.236
stem,352,65062,0.0,0.0,0.0,0.0
tremolo1,352,14,1.0,0.519,0.744,0.335
tremolo2,352,16,0.622,0.125,0.156,0.119
tremolo3,352,17,0.931,0.792,0.847,0.629
tremolo4,352,13,0.872,1.0,0.995,0.921
flag8thUp,352,1941,0.979,0.47,0.722,0.518
flag16thUp,352,263,0.968,0.579,0.76,0.553
flag32ndUp,352,49,0.969,0.755,0.827,0.543
flag64thUp,352,29,1.0,0.89,0.921,0.732
flag128thUp,352,45,0.865,0.933,0.946,0.669
flag8thDown,352,2281,0.997,0.528,0.759,0.554
flag16thDown,352,335,0.987,0.639,0.811,0.652
flag32ndDown,352,239,0.939,0.0586,0.209,0.167
flag64thDown,352,42,0.881,0.952,0.936,0.797
flag128thDown,352,42,0.929,0.857,0.913,0.74
accidentalFlat,352,1163,0.993,0.656,0.827,0.678
accidentalNatural,352,1939,0.991,0.52,0.751,0.61
accidentalSharp,352,2130,0.992,0.776,0.886,0.771
accidentalDoubleSharp,352,80,0.969,0.362,0.578,0.431
keyFlat,352,3188,0.995,0.793,0.9,0.767
keyNatural,352,183,0.991,0.607,0.795,0.634
keySharp,352,3478,0.996,0.859,0.932,0.83
articAccentAbove,352,521,0.996,0.465,0.706,0.521
articAccentBelow,352,274,0.954,0.372,0.619,0.453
articStaccatoAbove,352,1193,0.969,0.0523,0.431,0.209
articStaccatoBelow,352,503,0.926,0.0378,0.261,0.124
articTenutoAbove,352,82,0.637,0.061,0.172,0.118
articTenutoBelow,352,27,0.0,0.0,0.0,0.0
articStaccatissimoAbove,352,59,0.0,0.0,0.0,0.0
articStaccatissimoBelow,352,89,0.54,0.0112,0.0968,0.029
articMarcatoAbove,352,88,0.978,0.216,0.423,0.25
articMarcatoBelow,352,70,1.0,0.519,0.71,0.44
fermataAbove,352,184,0.989,0.81,0.898,0.766
fermataBelow,352,82,0.993,0.72,0.834,0.655
caesura,352,146,0.971,0.226,0.61,0.341
restDoubleWhole,352,77,1.0,0.504,0.77,0.56
restWhole,352,3348,0.988,0.298,0.664,0.473
restHalf,352,677,0.996,0.37,0.689,0.481
restQuarter,352,2092,1.0,0.802,0.905,0.76
rest8th,352,2477,1.0,0.73,0.867,0.696
rest16th,352,743,0.998,0.798,0.894,0.761
rest32nd,352,140,0.984,0.886,0.926,0.794
rest64th,352,93,0.963,0.989,0.991,0.871
rest128th,352,88,0.954,0.934,0.974,0.787
restHBar,352,27,1.0,0.998,0.995,0.918
dynamicP,352,1096,0.988,0.673,0.829,0.65
dynamicM,352,533,0.981,0.662,0.835,0.672
dynamicF,352,1437,0.994,0.587,0.792,0.663
dynamicS,352,127,0.939,0.323,0.566,0.352
dynamicZ,352,70,0.938,0.743,0.881,0.663
dynamicR,352,4,0.755,0.25,0.269,0.134
ornamentTrill,352,52,0.982,0.962,0.976,0.797
ornamentTurn,352,71,0.967,0.746,0.838,0.71
ornamentTurnInverted,352,17,0.945,0.882,0.916,0.757
ornamentMordent,352,81,0.985,0.813,0.893,0.753
stringsDownBow,352,66,0.985,0.955,0.973,0.804
stringsUpBow,352,79,0.969,0.709,0.853,0.655
arpeggio,352,71,0.804,0.282,0.407,0.26
keyboardPedalPed,352,93,0.987,0.806,0.893,0.794
keyboardPedalUp,352,144,0.991,0.715,0.842,0.741
slur,352,2408,0.988,0.588,0.784,0.68
beam,352,18841,0.978,0.207,0.595,0.445
tie,352,3004,0.981,0.493,0.744,0.604
dynamicCrescendoHairpin,352,298,0.989,0.95,0.973,0.911
dynamicDiminuendoHairpin,352,192,0.969,0.943,0.968,0.908
tuplet3,352,354,0.993,0.425,0.688,0.568
tuplet5,352,5,0.533,0.2,0.276,0.221
tuplet6,352,214,0.993,0.612,0.791,0.668
tuplet9,352,1,0.0,0.0,0.0,0.0
tupletBracket,352,25,0.941,0.84,0.899,0.69
ottavaBracket,352,26,0.682,0.308,0.401,0.304
staff,352,3864,0.956,0.871,0.931,0.866
